"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"WIJ2B2RF","journalArticle","2009","Ga\"" el, Guilloux","Ecodesign, du contexte au produit : contribution m\' ethodologique \` a l'int\' egration de l'environnement dans les m\' etiers du design industriel","","","","","","","2009","2025-03-04 22:12:05","2025-03-04 22:12:05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HM33BVIH","journalArticle","2014","C., Lecomte","Ing\' enierie frugale pour les bases de la Pyramide : concevoir des produits ouverts pour des contextes multiples","","","","","","","2014","2025-03-04 22:12:05","2025-03-04 22:12:05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"63G2UWHW","journalArticle","2015","Brieuc, Saffr\' e; Nicolas, Buttin","Activer l'\' economie circulaire : Comment r\' econcilier l'\' economie et la nature Ed. 1","","","","","","","2015","2025-03-04 22:12:05","2025-03-04 22:12:05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2HSPQ35F","journalArticle","","Masson, Josselin","EFFETS DE LA MODIFICATION D’UN ATTRIBUT CONSTITUTIF D’UN PRODUIT ALIMENTAIRE SUR SON ADOPTION PAR LES CONSOMMATEURS : LE CAS DU VIN A TENEUR REDUITE EN ALCOOL","","","","","","In the marketing literature which focuses on innovation adoption by consumers, the adoption process is explained mostly by consumer innovativeness. However, some research works show that the new product’s perceived cues can better explain its adoption than individual characteristics. Our work lies in the latter perspective and contributes to explain cognitive and sensory mechanisms of adoption, making a careful distinction between extrinsic and intrinsic effects of new product cues. Moreover, most research works use unique and immediate measurements while it appears necessary to make repeated measurements. Therefore, we implement longitudinal methodologies in this research. Three experimentations show lower quality expectations with the modified non-sensory cue (reduced alcohol content) than with the usual non-sensory cue (normal alcohol content). However, perception of this non-sensory information on modification is not sufficiently negative to reduce the overall perceived quality of the new product which remains close to that of the regular product. Therefore, both judging by its taste and conceptually, a new food product (i.e. low-alcohol wine) seems acceptable, at least as long as it does not move away too far from limits of the products category to which it belongs.","","2025-03-10 10:29:56","2025-03-10 10:29:57","","","","","","","","","","","","","","","fr","","","","","Zotero","","","","/Users/camillejeanningros/Zotero/storage/ICT49W5I/Masson - EFFETS DE LA MODIFICATION D’UN ATTRIBUT CONSTITUTIF D’UN PRODUIT ALIMENTAIRE SUR SON ADOPTION PAR LE.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4UAYD2ZJ","journalArticle","2020","Santos, João A.; Fraga, Helder; Malheiro, Aureliano C.; Moutinho-Pereira, José; Dinis, Lia-Tânia; Correia, Carlos; Moriondo, Marco; Leolini, Luisa; Dibari, Camilla; Costafreda-Aumedes, Sergi; Kartschall, Thomas; Menz, Christoph; Molitor, Daniel; Junk, Jürgen; Beyer, Marco; Schultz, Hans R.","A Review of the Potential Climate Change Impacts and Adaptation Options for European Viticulture","Applied Sciences","","2076-3417","10.3390/app10093092","https://www.mdpi.com/2076-3417/10/9/3092","Viticulture and winemaking are important socioeconomic sectors in many European regions. Climate plays a vital role in the terroir of a given wine region, as it strongly controls canopy microclimate, vine growth, vine physiology, yield, and berry composition, which together determine wine attributes and typicity. New challenges are, however, predicted to arise from climate change, as grapevine cultivation is deeply dependent on weather and climate conditions. Changes in viticultural suitability over the last decades, for viticulture in general or the use of speciﬁc varieties, have already been reported for many wine regions. Despite spatially heterogeneous impacts, climate change is anticipated to exacerbate these recent trends on suitability for wine production. These shifts may reshape the geographical distribution of wine regions, while wine typicity may also be threatened in most cases. Changing climates will thereby urge for the implementation of timely, suitable, and cost-eﬀective adaptation strategies, which should also be thoroughly planned and tuned to local conditions for an eﬀective risk reduction. Although the potential of the diﬀerent adaptation options is not yet fully investigated, deserving further research activities, their adoption will be of utmost relevance to maintain the socioeconomic and environmental sustainability of the highly valued viticulture and winemaking sector in Europe.","2020-04-29","2025-03-10 10:30:27","2025-03-10 10:30:27","2025-03-10 10:30:27","3092","","9","10","","Applied Sciences","","","","","","","","en","https://creativecommons.org/licenses/by/4.0/","","","","DOI.org (Crossref)","","","","/Users/camillejeanningros/Zotero/storage/DUMRJRVZ/Santos et al. - 2020 - A Review of the Potential Climate Change Impacts and Adaptation Options for European Viticulture.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HMEKHCDF","journalArticle","2021","Marín, D.; Armengol, J.; Carbonell‐Bejerano, P.; Escalona, J.M.; Gramaje, D.; Hernández‐Montes, E.; Intrigliolo, D.S.; Martínez‐Zapater, J.M.; Medrano, H.; Mirás‐Avalos, J.M.; Palomares‐Rius, J.E.; Romero‐Azorín, P.; Savé, R.; Santesteban, L.G.; De Herralde, F.","Challenges of viticulture adaptation to global change: tackling the issue from the roots","Australian Journal of Grape and Wine Research","","1322-7130, 1755-0238","10.1111/ajgw.12463","https://onlinelibrary.wiley.com/doi/10.1111/ajgw.12463","Viticulture is facing emerging challenges not only because of the effect of climate change on yield and composition of grapes, but also of a social demand for environmental-friendly agricultural management. Adaptation to these challenges is essential to guarantee the sustainability of viticulture. The aim of this review is to present adaptation possibilities from the soil-hidden, and often disregarded, part of the grapevine, the roots. The complexity of soil–root interactions makes necessary a comprehensive approach taking into account physiology, pathology and genetics, in order to outline strategies to improve viticulture adaptation to current and future threats. Rootstocks are the link between soil and scion in grafted crops, and they have played an essential role in viticulture since the introduction of phylloxera into Europe at the end of the 19th century. This review outlines current and future challenges that are threatening the sustainability of the wine sector and the relevant role that rootstocks can play to face these threats. We describe how rootstocks along with soil management can be exploited as an essential tool to deal with the effects of climate change and of emerging soil-borne pests and pathogens. Moreover, we discuss the possibilities and limitations of diverse genetic strategies for rootstock breeding.","2021-01","2025-03-10 10:30:42","2025-03-10 10:30:42","2025-03-10 10:30:42","8-25","","1","27","","Australian Journal of Grape and Wine Research","Challenges of viticulture adaptation to global change","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/camillejeanningros/Zotero/storage/5JV6SI3A/Marín et al. - 2021 - Challenges of viticulture adaptation to global change tackling the issue from the roots.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DRUAKEXQ","journalArticle","","Caillon, Sophie","Trajectoire d'une ethnoécologue: de l'agrobiodiversité au bien-être","","","","","","","","2025-03-10 10:31:03","2025-03-10 10:31:03","","","","","","","","","","","","","","","fr","","","","","Zotero","","","","/Users/camillejeanningros/Zotero/storage/IIXY6DDU/Caillon - Trajectoire d'une ethnoécologue de l'agrobiodiversité au bien-être.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FI7G6ZE9","book","2015","Dedieu, Benoît; Institut national de la recherche agronomique","L'agriculture en famille: travailler, réinventer, transmettre","","978-2-7598-1192-2","","","","","2015","2025-03-10 10:31:17","2025-03-10 10:31:17","","","","","","","","L'agriculture en famille","PROfil","","","","EDP sciences","Les Ulis","fr","","","","","BnF ISBN","338.109 4409051","","","/Users/camillejeanningros/Zotero/storage/ABIUE2QD/Dedieu - 2015 - L'agriculture en famille travailler, réinventer, transmettre.pdf","","","","","","","Institut national de la recherche agronomique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QS7ZYGUG","journalArticle","","Konan, Marie Yvette Elisée","Compétitivité des entreprises et dépérissement du vignoble","","","","","","","","2025-03-10 10:31:29","2025-03-10 10:31:29","","","","","","","","","","","","","","","fr","","","","","Zotero","","","","/Users/camillejeanningros/Zotero/storage/227WFNAC/Konan - Compétitivité des entreprises et dépérissement du vignoble.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E9WIPXXC","journalArticle","","Chanfreau, Alix","Les vignerons face aux défi des jeunes consommateurs","","","","","","","","2025-03-10 10:40:04","2025-03-10 10:40:04","","","","","","","","","","","","","","","fr","","","","","Zotero","","","","/Users/camillejeanningros/Zotero/storage/D5EH7J2I/Chanfreau - Les vignerons face aux défi des jeunes consommateurs.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
